62416 X:13356763.312410861;Y:3549864.575675777
62415 X:13356766.027865667;Y:3549869.0388435153
62417 X:13356768.750542425;Y:3549864.554009914
62401 X:13356772.809280723;Y:3549869.0460654697
62400 X:13356775.163637815;Y:3549864.4529025545
62402 X:13356778.77461495;Y:3549869.002733744
62410 X:13356781.172303768;Y:3549864.380683012
62403 X:13356784.357185598;Y:3549869.0460654697
62404 X:13356789.968644066;Y:3549869.024399607
62409 X:13356786.892091546;Y:3549864.257909789
62411 X:13356790.31529787;Y:3549860.5313813863
62368 X:13356793.78183592;Y:3549864.6912270454
62412 X:13356796.468402907;Y:3549860.3147227583
62408 X:13356799.5016237;Y:3549864.5612318683
62413 X:13356802.404849317;Y:3549860.4880496603
62407 X:13356805.13474803;Y:3549864.4745684173
62414 X:13356808.254632274;Y:3549860.358054484
62369 X:13356812.54447311;Y:3549863.0012897463
62367 X:13356811.634506872;Y:3549865.297871204
62420 X:13356809.901237847;Y:3549867.6377843875
62419 X:13356813.497771073;Y:3549869.674375491
62418 X:13356811.287853068;Y:3549875.4374949983
62366 X:13356815.967679434;Y:3549875.827480529
62365 X:13356813.324444171;Y:3549881.243946231
62344 X:13356816.48766014;Y:3549884.9704746343
62391 X:13356810.55121373;Y:3549884.7971477318
62321 X:13356822.51077;Y:3549877.9074033587
62397 X:13356820.604174072;Y:3549881.070619329
62322 X:13356827.277259817;Y:3549877.9074033587
62395 X:13356831.090451673;Y:3549877.9074033587
62323 X:13356837.980196044;Y:3549878.340720615
62398 X:13356826.410625305;Y:3549872.6209328338
62335 X:13356838.4135133;Y:3549873.7475576997
62371 X:13356840.233445775;Y:3549881.5472683106
62370 X:13356833.733686933;Y:3549881.503936585
62396 X:13356825.154005261;Y:3549881.1572827804
62345 X:13356822.510769999;Y:3549885.6637822445
62394 X:13356829.097192293;Y:3549884.4071622016
62346 X:13356835.423624232;Y:3549885.490455342
62347 X:13356840.753426483;Y:3549885.4471236165
62333 X:13356840.753426483;Y:3549889.9102913546
62326 X:13356836.03026839;Y:3549890.1269499827
62325 X:13356827.060601188;Y:3549890.3002768853
62324 X:13356822.20744792;Y:3549890.2569451598
62327 X:13356825.154005261;Y:3549895.630079136
62328 X:13356831.133783396;Y:3549895.5867474107
62329 X:13356835.293629056;Y:3549895.4567522337
62334 X:13356841.143412014;Y:3549896.4967136486
62332 X:13356841.230075466;Y:3549901.306535192
62331 X:13356835.033638703;Y:3549901.2632034663
62330 X:13356828.317221232;Y:3549901.306535192
62382 X:13356822.770760354;Y:3549901.2632034663
62405 X:13356795.90509047;Y:3549869.414385138
